證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"4961","天鈺","3230158","886699877","273.00","277.00","269.50","276.00","6.0000","4184"
"4967","十銓","64000148","10807332395","172.00","177.00","162.50","168.00","7.0000","39853"
"4968","立積","7890657","1598092979","192.00","208.00","191.50","204.00","14.5000","6725"
"4976","佳凌","1550152","75380830","48.10","49.30","48.10","48.10","0.1500","1121"
"4977","眾達-KY","1053529","79639859","77.30","77.40","74.60","75.00","-0.3000","1167"
"4989","榮科","168833","4186860","25.05","25.05","24.65","24.70","-0.0500","128"
"4994","傳奇","411253","54553144","135.50","135.50","130.50","130.50","-3.5000","391"
"4999","鑫禾","94902","3355439","35.25","35.45","35.20","35.40","0.2000","117"
"5007","三星","54372","3107061","57.30","57.40","56.80","57.30","-0.1000","47"
"5203","訊連","193165","19820324","103.50","103.50","102.00","102.50","0.5000","326"
"5215","科嘉-KY","68172","3522817","52.10","52.40","51.50","51.60","-0.6000","97"
"5222","全訊","316770","50949712","160.00","161.50","159.50","161.50","2.0000","365"
"5225","東科-KY","1823553","199997429","112.00","112.00","108.50","109.50","-2.0000","1274"
"5234","達興材料","1356946","218561904","163.50","164.50","159.50","161.00","-0.5000","1104"
"5243","乙盛-KY","5230798","331126551","61.50","65.50","61.00","65.40","4.4000","3088"
"5244","弘凱","156894","7154892","46.30","46.40","45.10","45.35","-0.7000","132"
"5258","虹堡","2718696","355647266","130.00","133.00","128.00","132.50","4.0000","2241"
"5269","祥碩","911367","1850484385","2030.00","2065.00","1990.00","2045.00","45.0000","1644"
"5283","禾聯碩","810619","87663206","110.00","110.00","107.00","108.00","-2.0000","1016"
"5284","jpp-KY","233912","27459696","118.00","118.00","116.50","117.00","-0.5000","286"
"5285","界霖","137391","9638543","70.60","70.60","69.80","70.30","0.2000","198"
"5288","豐祥-KY","72663","14807756","206.00","208.00","202.50","204.50","-1.5000","119"
"5292","華懋","704673","125970831","175.00","182.00","175.00","175.50","5.0000","712"
"5306","桂盟","80904","11589125","144.00","144.00","143.00","143.00","0.5000","130"
"5388","中磊","3457100","385566946","110.00","113.00","110.00","112.00","2.5000","2921"
"5434","崇越","1364551","388157109","281.50","287.00","280.50","286.00","5.5000","2514"
"5469","瀚宇博","2809931","154266155","55.00","55.60","54.70","54.80","0.0000","2035"
"5471","松翰","170071","8892225","52.60","52.60","52.10","52.40","0.2000","181"
"5484","慧友","1219629","67079595","55.00","55.00","55.00","55.00","5.0000","836"
"5515","建國","3927736","96271231","23.85","24.90","23.60","24.70","1.0000","2007"
"5519","隆大","2329803","116036892","49.60","50.50","49.15","50.10","0.5000","1529"
"5521","工信","2382535","30047119","12.70","12.75","12.50","12.65","0.0000","764"
"5522","遠雄","1761757","156541215","89.50","89.90","88.30","88.30","-0.5000","1220"
"5525","順天","105237","3760190","35.75","36.00","35.45","35.80","0.0500","129"
"5531","鄉林","4307374","50365745","11.85","12.00","11.50","11.50","-0.3000","1404"
"5533","皇鼎","386414","9216554","24.15","24.15","23.60","23.75","-0.1500","268"
"5534","長虹","2245863","260900512","118.00","118.00","115.50","116.50","-2.0000","2094"
"5538","東明-KY","7224","236276","32.55","32.90","32.55","32.90","0.4000","13"
"5546","永固-KY","6320","208390","33.00","33.50","32.45","32.80","-0.2000","13"
"5607","遠雄港","465823","26250856","56.40","56.90","56.10","56.10","-0.1000","420"
"5608","四維航","9116604","189854769","21.15","21.25","20.50","20.70","0.1500","4518"
"5706","鳳凰","770994","59106101","75.60","77.10","75.60","76.60","0.1000","902"
"5871","中租-KY","7988563","1239430203","155.00","156.00","154.00","155.00","1.5000","5601"
"5871A","中租-KY甲特","26888","2609245","97.10","97.20","97.00","97.00","0.0000","31"
"5876","上海商銀","4576460","209042151","46.00","46.00","45.50","45.55","0.0500","1774"
"5880","合庫金","9893747","255744186","26.00","26.15","25.75","25.75","0.0500","4228"
"5906","台南-KY","57000","3766300","67.40","67.50","64.70","66.80","1.5000","33"
"5907","大洋-KY","115458","1008435","8.84","8.84","8.68","8.78","0.0900","73"
"6005","群益證","17586900","430678980","24.25","24.65","24.00","24.65","0.5000","7750"
"6024","群益期","848637","51766479","61.20","61.30","60.60","60.70","-0.4000","601"
"6108","競國","218959","4543049","20.55","20.95","20.55","20.75","0.2000","144"
"6112","邁達特","3776640","242528085","64.80","65.20","63.40","63.70","-0.2000","3019"
"6115","鎰勝","93615","5261728","56.80","56.80","56.00","56.20","-0.2000","112"
"6116","彩晶","7295456","71156035","9.76","9.84","9.72","9.72","-0.0200","2541"
"6117","迎廣","2166905","286579570","133.50","135.50","129.50","130.50","-1.0000","1917"
"6120","達運","1711751","26856260","15.80","15.90","15.60","15.60","-0.1000","794"
"6128","上福","165600","6318612","38.10","38.40","38.05","38.15","0.0500","189"
"6133","金橋","362876","5600824","15.35","15.65","15.25","15.50","0.2000","203"
"6136","富爾特","152029","3503235","23.10","23.15","22.90","23.10","0.2000","115"
"6139","亞翔","6045709","1335616011","219.00","224.50","217.00","220.50","3.5000","13338"
"6141","柏承","179330","2890267","16.30","16.30","15.90","16.20","0.0000","136"
"6142","友勁","258267","2532376","9.88","9.90","9.77","9.80","-0.1100","145"
"6152","百一","5450654","68168992","12.95","13.00","12.00","12.40","-0.6000","2346"
"6153","嘉聯益","1138904","23415823","20.65","20.80","20.45","20.55","0.1500","749"
"6155","鈞寶","398857","11263756","28.15","28.60","27.60","28.35","0.3000","264"
"6164","華興","4300604","71436229","16.25","16.90","16.25","16.65","0.3500","1971"
"6165","浪凡","516740","21202403","40.95","41.40","40.65","40.65","-0.1000","373"
"6166","凌華","1449219","104612014","72.50","73.00","71.20","73.00","0.7000","1323"
"6168","宏齊","397085","9369449","23.75","23.80","23.50","23.60","-0.1000","305"
"6176","瑞儀","2735775","598097569","221.50","222.00","216.50","216.50","-3.0000","7644"
"6177","達麗","2367101","139909128","59.60","59.80","58.50","59.40","-0.2000","1757"
"6183","關貿","18426","1356563","73.60","73.80","73.60","73.60","0.0000","39"
"6184","大豐電","72985","4030264","55.10","55.50","55.00","55.40","0.4000","149"
"6189","豐藝","2970709","271700357","91.80","92.00","90.70","91.70","0.7000","3211"
"6191","精成科","2050179","147105858","71.20","72.40","71.20","71.50","0.8000","1654"
"6192","巨路","734454","91813402","123.00","127.50","120.00","126.00","3.5000","771"
"6196","帆宣","1427290","235539473","165.50","167.50","163.50","164.00","1.0000","1963"
"6197","佳必琪","6317776","1105152358","174.00","177.50","172.00","177.50","4.0000","7936"
"6201","亞弘電","14198","896719","63.20","63.50","63.00","63.50","0.3000","42"
"6202","盛群","880185","53072284","60.00","60.80","59.70","60.70","1.1000","775"
"6205","詮欣","435559","32694965","76.00","76.00","74.70","74.70","-1.1000","335"
"6206","飛捷","812865","76539970","93.40","94.70","93.10","94.70","1.0000","1221"
"6209","今國光","2135296","66920943","31.40","31.85","31.00","31.20","0.1500","1387"
"6213","聯茂","15919513","1777027422","114.00","116.00","108.00","115.50","2.5000","14178"
"6214","精誠","827633","106150775","129.00","129.50","127.50","128.00","0.0000","784"
"6215","和椿","8774728","523339509","60.40","61.50","58.30","59.80","-0.9000","6482"
"6216","居易","9177327","444759287","51.00","51.00","46.80","47.05","-3.8500","5795"
"6224","聚鼎","134106","7099328","52.90","53.50","52.60","52.90","0.0000","145"
"6225","天瀚","5286","86223","15.95","16.70","15.95","16.70","-0.1500","9"
"6226","光鼎","311488","3235991","10.40","10.50","10.30","10.30","-0.2000","158"
"6230","尼得科超眾","1005487","306728841","313.00","314.50","299.00","302.50","-5.5000","2863"
"6235","華孚","1376925","116345378","85.50","85.80","83.80","84.40","0.0000","1221"
"6239","力成","7809575","1487902510","190.00","194.00","187.00","189.50","0.0000","11240"
"6243","迅杰","484001","30222705","62.60","62.80","61.90","62.70","0.0000","372"
"6257","矽格","4102894","332396232","80.70","81.40","80.40","81.40","1.4000","3005"
"6269","台郡","2004411","174735435","87.20","87.50","86.60","87.20","0.4000","1438"
"6271","同欣電","3715428","577664224","151.50","158.00","151.50","156.00","5.5000","3266"
"6277","宏正","150629","12505311","83.40","83.50","82.70","83.00","0.1000","327"
"6278","台表科","2504521","293224970","116.00","118.00","115.50","118.00","2.5000","1716"
"6281","全國電","111968","9438300","84.30","84.50","84.20","84.20","-0.2000","112"
"6282","康舒","3913807","145465264","37.10","37.40","36.85","37.20","0.1500","2282"
"6283","淳安","395288","11861080","30.30","30.50","29.80","29.95","-0.2000","254"
"6285","啟碁","2682611","424717193","160.50","161.00","156.50","158.00","-1.5000","2328"
"6288","聯嘉","926535","28064345","30.25","30.50","30.10","30.40","0.1500","553"
"6405","悅城","86240","2100230","24.55","24.75","23.95","24.30","0.0000","67"
"6409","旭隼","173123","306215305","1760.00","1790.00","1750.00","1770.00","30.0000","280"
"6412","群電","984826","138032081","140.00","143.00","138.50","140.00","0.0000","961"
"6414","樺漢","2203793","734530366","330.50","337.00","330.50","332.00","4.5000","2068"
"6415","矽力*-KY","4533230","2267456625","490.00","510.00","488.00","501.00","17.0000","5505"
"6416","瑞祺電通","1265538","165844201","128.50","133.50","127.00","133.50","6.0000","1130"
"6423","億而得-創","101500","9970400","96.60","101.00","95.40","97.00","0.4000","83"
"6426","統新","73187","4749996","65.50","65.90","64.50","65.00","0.5000","68"
"6431","光麗-KY","103059","1227529","12.25","12.25","11.75","12.00","-0.0500","80"
"6438","迅得","460290","52942913","115.00","115.50","114.00","115.50","1.0000","430"
"6442","光聖","914544","234661670","260.00","262.00","251.50","257.50","1.5000","755"
"6443","元晶","3036574","82195005","27.10","27.40","27.00","27.05","-0.1000","1774"
"6446","藥華藥","2915027","1423675741","486.50","497.50","482.50","488.00","2.0000","4344"
"6449","鈺邦","2967506","370539383","121.00","128.50","120.50","124.50","5.0000","2157"
"6451","訊芯-KY","16444146","3382660411","193.00","212.00","190.50","212.00","19.0000","13468"
"6456","GIS-KY","866567","56363657","65.40","65.50","64.60","64.80","-0.2000","604"
"6464","台數科","44284","3746019","84.70","84.90","84.50","84.60","-0.1000","62"
"6472","保瑞","1572686","1218816648","770.00","787.00","765.00","773.00","5.0000","3899"
"6477","安集","345782","12601821","36.55","36.75","36.30","36.40","-0.1000","340"
"6491","晶碩","662754","312877251","477.50","478.00","468.50","475.00","1.0000","1184"
"6504","南六","94150","6888428","73.90","73.90","72.50","73.00","0.2000","81"
"6505","台塑化","3991094","262870015","66.50","66.50","65.60","65.90","-0.2000","3130"
"6515","穎崴","1720527","1666890781","918.00","993.00","918.00","993.00","90.0000","2601"
"6525","捷敏-KY","117954","7739009","65.60","66.00","65.20","66.00","0.5000","99"
"6526","達發","3492383","2728118735","770.00","799.00","762.00","786.00","42.0000","5363"
"6531","愛普*","1661370","578070314","347.50","353.00","343.00","351.50","8.0000","2170"
